ID;Nome e cognome;Email (chiave);Tipologia stakeholder;Regione;Canale di ingaggio;In database DEM
1758;Giulio Giordano;giulio.giordano@example.org;Studio medico / Ambulatorio;Toscana;Database DEM;true
1759;Vittorio Fontana;vittorio.fontana@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
1760;Monica Giuliani;monica.giuliani@example.org;HCP - Infermiere / Educatore;Marche;Database DEM;true
1761;Marco Gallo;marco.gallo@example.org;HCP - Diabetologo;Lazio;Database DEM;true
1762;Giovanni Amato;giovanni.amato@example.org;HCP - Diabetologo;Liguria;Database DEM;true
1763;Enrico Negri;enrico.negri@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1764;Michela Lorenzi;michela.lorenzi@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
1765;Raffaella Desantis;raffaella.desantis@example.org;Studio medico / Ambulatorio;Sardegna;Database DEM;true
1766;Stefano Parisi;stefano.parisi@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1767;Beatrice Amato;beatrice.amato@example.org;HCP - Endocrinologo;Marche;Database DEM;true
1768;Raffaella Abbate;raffaella.abbate@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
1769;Antonio Rossi;antonio.rossi@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1770;Susanna Ariemma;susanna.ariemma@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
1771;Martina Nardi;martina.nardi@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
1772;Ludovica Palmieri;ludovica.palmieri@example.org;Direzione sanitaria;Lazio;Database DEM;true
1773;Giulia Castelli;giulia.castelli@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
1774;Mariangela Gallo;mariangela.gallo@example.org;HCP - Diabetologo;Lazio;Database DEM;true
1775;Mauro Rossi;mauro.rossi@example.org;Studio medico / Ambulatorio;Puglia;Database DEM;true
1776;Paolo Perini;paolo.perini@example.org;HCP - Medico di medicina generale;Sicilia;Database DEM;true
1777;Barbara Zanini;barbara.zanini@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
1778;Enrico Sanna;enrico.sanna@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1779;Irene Serra;irene.serra@example.org;HCP - Endocrinologo;Liguria;Database DEM;true
1780;Monica Bellini;monica.bellini@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1781;Anna Costa;anna.costa@example.org;HCP - Diabetologo;Toscana;Database DEM;true
1782;Manuela Benedetti;manuela.benedetti@example.org;HCP - Medico di medicina generale;Sardegna;Database DEM;true
1783;Caterina Sorrentino;caterina.sorrentino@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
1784;Lorenzo Ricci;lorenzo.ricci@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
1785;Marco Fabbri;marco.fabbri@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
1786;Giorgio Neri;giorgio.neri@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
1787;Giovanni Vitale;giovanni.vitale@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
1788;Paola Sanna;paola.sanna@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
1789;Davide Abbate;davide.abbate@example.org;HCP - Endocrinologo;Sardegna;Database DEM;true
1790;Giuseppe Montanari;giuseppe.montanari@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
1791;Marco Piras;marco.piras@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1792;Anna Conte;anna.conte@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
1793;Laura Melchiorre;laura.melchiorre@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
1794;Giovanni Testa;giovanni.testa@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
1795;Mauro Balestra;mauro.balestra@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1796;Ilaria Benedetti;ilaria.benedetti@example.org;Farmacia ospedaliera;Liguria;Database DEM;true
1797;Lucia Melchiorre;lucia.melchiorre@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1798;Sabrina Greco;sabrina.greco@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1799;Filippo Guerra;filippo.guerra@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
1800;Martina Guerra;martina.guerra@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
1801;Federico Bianco;federico.bianco@example.org;Altro / Industry;Lazio;Database DEM;true
1802;Cristina Bacci;cristina.bacci@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
1803;Samuele Sorrentino;samuele.sorrentino@example.org;HCP - Diabetologo;Puglia;Database DEM;true
1804;Andrea Morelli;andrea.morelli@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1805;Federica Giuliani;federica.giuliani@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
1806;Angela Gentile;angela.gentile@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1807;Sara Toscano;sara.toscano@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1808;Antonio Sartori;antonio.sartori@example.org;Studio medico / Ambulatorio;Marche;Database DEM;true
1809;Luca Romano;luca.romano@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
1810;Ludovica Franco;ludovica.franco@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1811;Marco Bonetti;marco.bonetti@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1812;Federico Nardi;federico.nardi@example.org;HCP - Endocrinologo;Sardegna;Database DEM;true
1813;Alessandro Pellegrini;alessandro.pellegrini@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
1814;Emanuele Serra;emanuele.serra@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1815;Lucia Innocenti;lucia.innocenti@example.org;HCP - Diabetologo;Friuli-Venezia Giulia;Database DEM;true
1816;Davide Fumagalli;davide.fumagalli@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
1817;Mauro Morelli;mauro.morelli@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
1818;Ludovica Sanna;ludovica.sanna@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
1819;Giorgio Abbate;giorgio.abbate@example.org;Altro / Industry;Campania;Database DEM;true
1820;Paola Ricci;paola.ricci@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
1821;Antonio Cristofaro;antonio.cristofaro@example.org;HCP - Medico di medicina generale;Marche;Database DEM;true
1822;Alessandro Caputo;alessandro.caputo@example.org;Farmacia ospedaliera;Piemonte;Database DEM;true
1823;Elena Serra;elena.serra@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
1824;Margherita Zanetti;margherita.zanetti@example.org;HCP - Diabetologo;Friuli-Venezia Giulia;Database DEM;true
1825;Manuela Salerno;manuela.salerno@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1826;Ludovica Melchiorre;ludovica.melchiorre@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
1827;Luca Parisi;luca.parisi@example.org;HCP - Diabetologo;Toscana;Database DEM;true
1828;Roberto Serra;roberto.serra@example.org;Farmacia ospedaliera;Campania;Database DEM;true
1829;Teresa Romano;teresa.romano@example.org;Studio medico / Ambulatorio;Liguria;Database DEM;true
1830;Riccardo Melchiorre;riccardo.melchiorre@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
1831;Valentina Ruggiero;valentina.ruggiero@example.org;Farmacia ospedaliera;Lazio;Database DEM;true
1832;Irene Riva;irene.riva@example.org;HCP - Diabetologo;Campania;Database DEM;true
1833;Mauro Rossetti;mauro.rossetti@example.org;HCP - Endocrinologo;Campania;Database DEM;true
1834;Lorenzo Antonelli;lorenzo.antonelli@example.org;HCP - Diabetologo;Calabria;Database DEM;true
1835;Ilaria Ferretti;ilaria.ferretti@example.org;Altro / Industry;Veneto;Database DEM;true
1836;Michele Russo;michele.russo@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
1837;Susanna Innocenti;susanna.innocenti@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
1838;Giorgia Bruni;giorgia.bruni@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
1839;Claudia Marchetti;claudia.marchetti@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1840;Paola Sala;paola.sala@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
1841;Maria Carbone;maria.carbone@example.org;HCP - Diabetologo;Veneto;Database DEM;true
1842;Gabriele Lombardi;gabriele.lombardi@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
1843;Roberta Romano;roberta.romano@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1844;Pietro Balestra;pietro.balestra@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
1845;Filippo Russo;filippo.russo@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
1846;Elisa Carbone;elisa.carbone@example.org;HCP - Diabetologo;Sardegna;Database DEM;true
1847;Matteo Bruno;matteo.bruno@example.org;HCP - Diabetologo;Veneto;LinkedIn;false
1848;Paolo Pesce;paolo.pesce@example.org;Studio medico / Ambulatorio;Toscana;LinkedIn;false
1849;Giulia Fiore;giulia.fiore@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
1850;Francesca Cardone;francesca.cardone@example.org;HCP - Endocrinologo;Piemonte;LinkedIn;false
1851;Gianluca Cavallo;gianluca.cavallo@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
1852;Claudia Russo;claudia.russo@example.org;HCP - Endocrinologo;Campania;LinkedIn;false
1853;Viola Conte;viola.conte@example.org;HCP - Endocrinologo;Calabria;LinkedIn;false
1854;Sara Guerra;sara.guerra@example.org;Farmacia ospedaliera;Sicilia;LinkedIn;false
1855;Elisa Morelli;elisa.morelli@example.org;HCP - Diabetologo;Campania;LinkedIn;false
1856;Federico Zanetti;federico.zanetti@example.org;HCP - Medico di medicina generale;Liguria;LinkedIn;false
1857;Claudio Negri;claudio.negri@example.org;HCP - Diabetologo;Toscana;LinkedIn;false
1858;Mauro Pisani;mauro.pisani@example.org;Altro / Industry;Calabria;LinkedIn;false
1859;Maria Valente;maria.valente@example.org;HCP - Diabetologo;Lazio;LinkedIn;false
1860;Michela Sorrentino;michela.sorrentino@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;LinkedIn;false
1861;Sara Santoro;sara.santoro@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
1862;Elena Sartori;elena.sartori@example.org;HCP - Infermiere / Educatore;Veneto;LinkedIn;false
1863;Antonio Caruso;antonio.caruso@example.org;HCP - Diabetologo;Sicilia;LinkedIn;false
1864;Roberta Rossi;roberta.rossi@example.org;HCP - Medico di medicina generale;Sardegna;LinkedIn;false
1865;Michele Cardone;michele.cardone@example.org;Direzione sanitaria;Campania;LinkedIn;false
1866;Giacomo Barbieri;giacomo.barbieri@example.org;HCP - Endocrinologo;Emilia-Romagna;LinkedIn;false
1867;Giacomo Cirillo;giacomo.cirillo@example.org;Direzione sanitaria;Campania;LinkedIn;false
1868;Marco Serra;marco.serra@example.org;Farmacia ospedaliera;Piemonte;LinkedIn;false
1869;Vincenzo Lorenzi;vincenzo.lorenzi@example.org;HCP - Diabetologo;Campania;LinkedIn;false
1870;Giacomo Farina;giacomo.farina@example.org;Altro / Industry;Lombardia;LinkedIn;false
1871;Martina Cirillo;martina.cirillo@example.org;HCP - Medico di medicina generale;Puglia;LinkedIn;false
1872;Sofia Cerri;sofia.cerri@example.org;Altro / Industry;Liguria;LinkedIn;false
1873;Giuseppe Testa;giuseppe.testa@example.org;HCP - Medico di medicina generale;Lombardia;LinkedIn;false
1874;Luigi Toscano;luigi.toscano@example.org;HCP - Medico di medicina generale;Campania;LinkedIn;false
1875;Ludovica Santoro;ludovica.santoro@example.org;HCP - Endocrinologo;Lombardia;LinkedIn;false
1876;Davide Riva;davide.riva@example.org;HCP - Diabetologo;Liguria;LinkedIn;false
1877;Lorenzo Iacobelli;lorenzo.iacobelli@example.org;Altro / Industry;Veneto;LinkedIn;false
1878;Roberta Toscano;roberta.toscano@example.org;Studio medico / Ambulatorio;Lombardia;LinkedIn;false
1879;Lucia Caputo;lucia.caputo@example.org;Studio medico / Ambulatorio;Lombardia;LinkedIn;false
1880;Giovanni Carbone;giovanni.carbone@example.org;HCP - Infermiere / Educatore;Lazio;LinkedIn;false
1881;Vittorio Farina;vittorio.farina@example.org;HCP - Diabetologo;Campania;LinkedIn;false
1882;Vittorio Cardone;vittorio.cardone@example.org;HCP - Medico di medicina generale;Lombardia;LinkedIn;false
1883;Simone Castelli;simone.castelli@example.org;HCP - Diabetologo;Lazio;LinkedIn;false
1884;Luigi Sala;luigi.sala@example.org;HCP - Diabetologo;Puglia;LinkedIn;false
1885;Michele Balestra;michele.balestra@example.org;Studio medico / Ambulatorio;Campania;LinkedIn;false
1886;Federica Ferretti;federica.ferretti@example.org;HCP - Endocrinologo;Abruzzo;LinkedIn;false
1887;Martina Milani;martina.milani@example.org;Studio medico / Ambulatorio;Piemonte;LinkedIn;false
1888;Marco Giuliani;marco.giuliani@example.org;Direzione sanitaria;Puglia;LinkedIn;false
1889;Roberta Marini;roberta.marini@example.org;HCP - Endocrinologo;Toscana;LinkedIn;false
1890;Davide Ferrari;davide.ferrari@example.org;HCP - Medico di medicina generale;Marche;LinkedIn;false
1891;Ludovica Denicola;ludovica.denicola@example.org;HCP - Diabetologo;Puglia;LinkedIn;false
1892;Ludovica Galli;ludovica.galli@example.org;HCP - Infermiere / Educatore;Lombardia;LinkedIn;false
1893;Luigi Damico;luigi.damico@example.org;Studio medico / Ambulatorio;Sicilia;LinkedIn;false
1894;Matteo Bianchi;matteo.bianchi@example.org;HCP - Diabetologo;Liguria;LinkedIn;false
1895;Massimo Marchetti;massimo.marchetti@example.org;Studio medico / Ambulatorio;Toscana;LinkedIn;false
1896;Giorgia Neri;giorgia.neri@example.org;HCP - Infermiere / Educatore;Lazio;LinkedIn;false
1897;Tommaso Franco;tommaso.franco@example.org;Studio medico / Ambulatorio;Piemonte;LinkedIn;false
1898;Giulio Agostini;giulio.agostini@example.org;HCP - Infermiere / Educatore;Friuli-Venezia Giulia;LinkedIn;false
1899;Jacopo Zanetti;jacopo.zanetti@example.org;HCP - Infermiere / Educatore;Puglia;LinkedIn;false
1900;Sabrina Cavallo;sabrina.cavallo@example.org;HCP - Diabetologo;Lazio;LinkedIn;false
1901;Alessandro Denicola;alessandro.denicola@example.org;HCP - Diabetologo;Sardegna;LinkedIn;false
1902;Martina Fiore;martina.fiore@example.org;HCP - Diabetologo;Sardegna;LinkedIn;false
1903;Teresa Serra;teresa.serra@example.org;HCP - Infermiere / Educatore;Marche;LinkedIn;false
1904;Giulio Pisani;giulio.pisani@example.org;HCP - Diabetologo;Sicilia;LinkedIn;false
1905;Andrea Ferretti;andrea.ferretti@example.org;HCP - Infermiere / Educatore;Sardegna;LinkedIn;false
1906;Susanna Fiore;susanna.fiore@example.org;HCP - Diabetologo;Lazio;LinkedIn;false
1907;Riccardo Mariani;riccardo.mariani@example.org;Altro / Industry;Liguria;LinkedIn;false
1908;Beatrice Testa;beatrice.testa@example.org;HCP - Endocrinologo;Calabria;LinkedIn;false
1909;Sofia Nardi;sofia.nardi@example.org;Studio medico / Ambulatorio;Liguria;LinkedIn;false
1910;Davide Palmieri;davide.palmieri@example.org;HCP - Diabetologo;Lazio;LinkedIn;false
1911;Mauro Serra;mauro.serra@example.org;HCP - Infermiere / Educatore;Piemonte;LinkedIn;false
1912;Valentina Carbone;valentina.carbone@example.org;HCP - Medico di medicina generale;Piemonte;LinkedIn;false
1913;Viola Santoro;viola.santoro@example.org;HCP - Medico di medicina generale;Puglia;LinkedIn;false
1914;Mariangela Lombardi;mariangela.lombardi@example.org;HCP - Infermiere / Educatore;Sicilia;LinkedIn;false
1915;Marta Fiore;marta.fiore@example.org;Altro / Industry;Toscana;LinkedIn;false
1916;Giuseppe Pagano;giuseppe.pagano@example.org;Studio medico / Ambulatorio;Toscana;LinkedIn;false
1917;Anna Marini;anna.marini@example.org;HCP - Endocrinologo;Liguria;LinkedIn;false
1918;Giorgio Longo;giorgio.longo@example.org;HCP - Infermiere / Educatore;Sicilia;LinkedIn;false
1919;Daniele Salerno;daniele.salerno@example.org;Studio medico / Ambulatorio;Veneto;LinkedIn;false
1920;Giovanna Costa;giovanna.costa@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;LinkedIn;false
1921;Barbara Grassi;barbara.grassi@example.org;HCP - Diabetologo;Marche;LinkedIn;false
1922;Nicola Ruggiero;nicola.ruggiero@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
1923;Giacomo Morelli;giacomo.morelli@example.org;Studio medico / Ambulatorio;Toscana;LinkedIn;false
1924;Elisa Marchetti;elisa.marchetti@example.org;HCP - Endocrinologo;Sicilia;LinkedIn;false
1925;Daniele Sartori;daniele.sartori@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
1926;Vincenzo Silvestri;vincenzo.silvestri@example.org;Farmacia ospedaliera;Lombardia;LinkedIn;false
1927;Roberto Cerri;roberto.cerri@example.org;HCP - Diabetologo;Campania;LinkedIn;false
1928;Martina Corsi;martina.corsi@example.org;HCP - Diabetologo;Sicilia;LinkedIn;false
1929;Giuseppe Moretti;giuseppe.moretti@example.org;HCP - Endocrinologo;Lazio;LinkedIn;false
1930;Sara Negri;sara.negri@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
1931;Elisa Vitale;elisa.vitale@example.org;HCP - Diabetologo;Marche;LinkedIn;false
1932;Vittorio Russo;vittorio.russo@example.org;HCP - Endocrinologo;Campania;LinkedIn;false
1933;Giulio Ferrari;giulio.ferrari@example.org;HCP - Medico di medicina generale;Lombardia;LinkedIn;false
1934;Roberta Iacobelli;roberta.iacobelli@example.org;Studio medico / Ambulatorio;Abruzzo;LinkedIn;false
1935;Davide Galli;davide.galli@example.org;HCP - Medico di medicina generale;Puglia;LinkedIn;false
1936;Laura Amato;laura.amato@example.org;Direzione sanitaria;Friuli-Venezia Giulia;LinkedIn;false
1937;Ilaria Bellini;ilaria.bellini@example.org;HCP - Infermiere / Educatore;Lombardia;LinkedIn;false
1938;Sara Galli;sara.galli@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
1939;Giovanni Rizzo;giovanni.rizzo@example.org;HCP - Diabetologo;Veneto;LinkedIn;false
1940;Carlo Giuliani;carlo.giuliani@example.org;HCP - Medico di medicina generale;Emilia-Romagna;LinkedIn;false
1941;Valeria Franco;valeria.franco@example.org;Altro / Industry;Abruzzo;LinkedIn;false
1942;Alessandro Bacci;alessandro.bacci@example.org;Altro / Industry;Sardegna;LinkedIn;false
1943;Irene Lorenzi;irene.lorenzi@example.org;HCP - Diabetologo;Toscana;LinkedIn;false
1944;Andrea Martini;andrea.martini@example.org;Studio medico / Ambulatorio;Liguria;LinkedIn;false
1945;Emanuele Montanari;emanuele.montanari@example.org;HCP - Endocrinologo;Campania;LinkedIn;false
1946;Teresa Balestra;teresa.balestra@example.org;HCP - Diabetologo;Veneto;LinkedIn;false
1947;Chiara Bruni;chiara.bruni@example.org;HCP - Endocrinologo;Lazio;LinkedIn;false
1948;Anna Fabbri;anna.fabbri@example.org;HCP - Endocrinologo;Veneto;LinkedIn;false
1949;Ilaria Sartori;ilaria.sartori@example.org;HCP - Medico di medicina generale;Liguria;LinkedIn;false
1950;Simone Nardi;simone.nardi@example.org;HCP - Medico di medicina generale;Marche;LinkedIn;false
1951;Ilaria Corsi;ilaria.corsi@example.org;Studio medico / Ambulatorio;Liguria;LinkedIn;false
1952;Stefano Mazza;stefano.mazza@example.org;HCP - Infermiere / Educatore;Sardegna;LinkedIn;false
1953;Elisa Martelli;elisa.martelli@example.org;HCP - Infermiere / Educatore;Lombardia;LinkedIn;false
1954;Giorgio Ricci;giorgio.ricci@example.org;HCP - Medico di medicina generale;Puglia;LinkedIn;false
1955;Beatrice Colombo;beatrice.colombo@example.org;HCP - Endocrinologo;Piemonte;LinkedIn;false
1956;Maria Damico;maria.damico@example.org;Direzione sanitaria;Emilia-Romagna;LinkedIn;false
1957;Mauro Sartori;mauro.sartori@example.org;Altro / Industry;Piemonte;LinkedIn;false
1958;Martina Melchiorre;martina.melchiorre@example.org;Farmacia ospedaliera;Emilia-Romagna;LinkedIn;false
1959;Nicola Morelli;nicola.morelli@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
1960;Paolo Negri;paolo.negri@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
1961;Pietro Greco;pietro.greco@example.org;HCP - Endocrinologo;Emilia-Romagna;LinkedIn;false
1962;Francesco Ferrara;francesco.ferrara@example.org;HCP - Endocrinologo;Piemonte;LinkedIn;false
1963;Susanna Rossi;susanna.rossi@example.org;Studio medico / Ambulatorio;Campania;LinkedIn;false
1964;Barbara Bacci;barbara.bacci@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
1965;Teresa Orlando;teresa.orlando@example.org;HCP - Infermiere / Educatore;Umbria;LinkedIn;false
1966;Mauro Neri;mauro.neri@example.org;HCP - Diabetologo;Campania;LinkedIn;false
1967;Davide Melchiorre;davide.melchiorre@example.org;Direzione sanitaria;Lombardia;LinkedIn;false
1968;Maria Piras;maria.piras@example.org;HCP - Medico di medicina generale;Lombardia;LinkedIn;false
1969;Irene Giuliani;irene.giuliani@example.org;HCP - Endocrinologo;Emilia-Romagna;LinkedIn;false
1970;Irene Borghi;irene.borghi@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
1971;Michela Pesce;michela.pesce@example.org;Farmacia ospedaliera;Lombardia;LinkedIn;false
1972;Laura Zanini;laura.zanini@example.org;Studio medico / Ambulatorio;Lombardia;LinkedIn;false
1973;Roberto Santoro;roberto.santoro@example.org;HCP - Endocrinologo;Lombardia;LinkedIn;false
1974;Cristina Damico;cristina.damico@example.org;Studio medico / Ambulatorio;Emilia-Romagna;LinkedIn;false
1975;Massimo Borghi;massimo.borghi@example.org;HCP - Medico di medicina generale;Campania;LinkedIn;false
1976;Giulio Mariani;giulio.mariani@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
1977;Mariangela Longo;mariangela.longo@example.org;HCP - Infermiere / Educatore;Puglia;LinkedIn;false
1978;Carlo Innocenti;carlo.innocenti@example.org;Studio medico / Ambulatorio;Toscana;LinkedIn;false
1979;Ludovica Fiore;ludovica.fiore@example.org;HCP - Diabetologo;Lazio;LinkedIn;false
1980;Massimo Corsi;massimo.corsi@example.org;HCP - Medico di medicina generale;Veneto;LinkedIn;false
1981;Laura Bernardi;laura.bernardi@example.org;Farmacia ospedaliera;Marche;LinkedIn;false
1982;Giulia Martini;giulia.martini@example.org;Farmacia ospedaliera;Piemonte;LinkedIn;false
1983;Daniele Landi;daniele.landi@example.org;HCP - Medico di medicina generale;Veneto;LinkedIn;false
1984;Lorenzo Sorrentino;lorenzo.sorrentino@example.org;Studio medico / Ambulatorio;Lombardia;LinkedIn;false
1985;Riccardo Toscano;riccardo.toscano@example.org;HCP - Infermiere / Educatore;Sicilia;LinkedIn;false
1986;Beatrice Zanetti;beatrice.zanetti@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
1987;Francesca Serra;francesca.serra@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
1988;Antonio Fontana;antonio.fontana@example.org;HCP - Infermiere / Educatore;Lazio;LinkedIn;false
1989;Pietro Silvestri;pietro.silvestri@example.org;Altro / Industry;Lombardia;LinkedIn;false
1990;Carlo Franco;carlo.franco@example.org;HCP - Endocrinologo;Emilia-Romagna;LinkedIn;false
1991;Ilaria Sanna;ilaria.sanna@example.org;Farmacia ospedaliera;Puglia;LinkedIn;false
1992;Giorgio Giordano;giorgio.giordano@example.org;Direzione sanitaria;Marche;LinkedIn;false
1993;Sara Ricci;sara.ricci@example.org;HCP - Diabetologo;Piemonte;LinkedIn;false
1994;Andrea Caruso;andrea.caruso@example.org;HCP - Medico di medicina generale;Lazio;LinkedIn;false
1995;Paolo Fumagalli;paolo.fumagalli@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
1996;Vittorio Benedetti;vittorio.benedetti@example.org;HCP - Endocrinologo;Lazio;LinkedIn;false
1997;Michele Negri;michele.negri@example.org;Farmacia ospedaliera;Liguria;LinkedIn;false
1998;Nicola Pisani;nicola.pisani@example.org;HCP - Endocrinologo;Lazio;LinkedIn;false
1999;Caterina Ferrara;caterina.ferrara@example.org;HCP - Endocrinologo;Lazio;LinkedIn;false
2000;Valentina Bacci;valentina.bacci@example.org;Altro / Industry;Abruzzo;LinkedIn;false
2001;Giulia Caputo;giulia.caputo@example.org;HCP - Infermiere / Educatore;Sicilia;LinkedIn;false
2002;Rosanna Bruno;rosanna.bruno@example.org;HCP - Endocrinologo;Puglia;LinkedIn;false
2003;Roberto Borghi;roberto.borghi@example.org;Studio medico / Ambulatorio;Veneto;LinkedIn;false
2004;Marta Romano;marta.romano@example.org;Studio medico / Ambulatorio;Lombardia;LinkedIn;false
2005;Daniela Bianchi;daniela.bianchi@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
2006;Emanuele Lorenzi;emanuele.lorenzi@example.org;HCP - Medico di medicina generale;Puglia;LinkedIn;false
2007;Angela Santoro;angela.santoro@example.org;Studio medico / Ambulatorio;Sicilia;LinkedIn;false
2008;Gianluca Benedetti;gianluca.benedetti@example.org;Farmacia ospedaliera;Lombardia;LinkedIn;false
2009;Stefano Greco;stefano.greco@example.org;HCP - Endocrinologo;Campania;LinkedIn;false
2010;Sabrina Longo;sabrina.longo@example.org;HCP - Medico di medicina generale;Sicilia;LinkedIn;false
2011;Andrea Volpe;andrea.volpe@example.org;HCP - Infermiere / Educatore;Lombardia;LinkedIn;false
2012;Sabrina Benedetti;sabrina.benedetti@example.org;HCP - Diabetologo;Lazio;LinkedIn;false
2013;Roberto Perini;roberto.perini@example.org;HCP - Medico di medicina generale;Friuli-Venezia Giulia;LinkedIn;false
2014;Maria Costa;maria.costa@example.org;HCP - Diabetologo;Abruzzo;LinkedIn;false
2015;Martina Grassi;martina.grassi@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
2016;Rosanna Fabbri;rosanna.fabbri@example.org;HCP - Diabetologo;Piemonte;LinkedIn;false
2017;Giulio Pesce;giulio.pesce@example.org;HCP - Endocrinologo;Emilia-Romagna;LinkedIn;false
2018;Valeria Ferretti;valeria.ferretti@example.org;HCP - Diabetologo;Lombardia;LinkedIn;false
2019;Mauro Bianco;mauro.bianco@example.org;HCP - Medico di medicina generale;Lombardia;LinkedIn;false
2020;Monica Bacci;monica.bacci@example.org;HCP - Endocrinologo;Campania;LinkedIn;false
2021;Marco Romano;marco.romano@example.org;Farmacia ospedaliera;Campania;LinkedIn;false
2022;Sabrina Iacobelli;sabrina.iacobelli@example.org;HCP - Diabetologo;Puglia;LinkedIn;false
2023;Claudio Caputo;claudio.caputo@example.org;HCP - Diabetologo;Campania;LinkedIn;false
2024;Barbara Messina;barbara.messina@example.org;Farmacia ospedaliera;Lombardia;LinkedIn;false
2025;Martina Balestra;martina.balestra@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
2026;Federico Ferrari;federico.ferrari@example.org;HCP - Diabetologo;Sicilia;LinkedIn;false
2027;Lorenzo Bassi;lorenzo.bassi@example.org;HCP - Diabetologo;Emilia-Romagna;LinkedIn;false
2028;Sofia Innocenti;sofia.innocenti@example.org;Farmacia ospedaliera;Lombardia;LinkedIn;false
